Epoch	LR	L1_Loss	SSIM	Total_Loss
1	0.000100	0.015901	0.914001	0.032166
2	0.000100	0.015279	0.922241	0.028440
3	0.000100	0.016308	0.916528	0.027321
4	0.000100	0.014313	0.931540	0.026409
5	0.000100	0.014072	0.920555	0.025946
6	0.000100	0.012930	0.934068	0.025574
7	0.000100	0.012544	0.934539	0.025182
8	0.000100	0.009289	0.933904	0.024776
9	0.000100	0.015087	0.929411	0.024533
10	0.000100	0.013059	0.933374	0.024280
11	0.000100	0.006808	0.947966	0.024042
12	0.000100	0.011692	0.939661	0.023947
13	0.000100	0.011467	0.937904	0.023832
14	0.000100	0.012689	0.918441	0.023566
15	0.000100	0.011100	0.926318	0.023515
16	0.000100	0.016181	0.912550	0.023355
17	0.000100	0.014002	0.913273	0.023171
18	0.000100	0.012633	0.935890	0.023123
19	0.000100	0.011811	0.941559	0.022998
20	0.000100	0.011673	0.936541	0.022917
21	0.000100	0.013747	0.939806	0.022728
22	0.000100	0.014746	0.936398	0.022669
23	0.000100	0.011277	0.941671	0.022547
24	0.000100	0.011312	0.935184	0.022389
25	0.000100	0.014073	0.920197	0.022479
26	0.000100	0.012961	0.932119	0.022326
27	0.000100	0.012434	0.934877	0.022157
28	0.000100	0.012123	0.933202	0.022150
29	0.000100	0.016347	0.917603	0.022078
30	0.000100	0.013063	0.931079	0.022123
31	0.000100	0.012616	0.936471	0.021960
32	0.000100	0.015570	0.937625	0.021813
33	0.000100	0.008735	0.950469	0.021833
34	0.000100	0.013191	0.933058	0.021781
35	0.000100	0.012561	0.935313	0.021688
36	0.000100	0.009744	0.947446	0.021689
37	0.000100	0.011075	0.938037	0.021838
38	0.000100	0.010947	0.937356	0.021625
39	0.000100	0.012921	0.941296	0.021531
40	0.000100	0.013378	0.915014	0.022065
41	0.000100	0.011248	0.937867	0.021472
42	0.000100	0.013518	0.943741	0.021443
43	0.000100	0.009656	0.949371	0.021329
44	0.000100	0.013464	0.930087	0.021314
45	0.000100	0.012124	0.931072	0.021257
46	0.000100	0.013866	0.922317	0.021276
47	0.000100	0.010447	0.947481	0.021207
48	0.000100	0.010292	0.937990	0.021205
49	0.000100	0.011017	0.941045	0.021106
50	0.000100	0.010139	0.944413	0.021122
51	0.000100	0.016081	0.871496	0.020990
52	0.000100	0.008970	0.940705	0.021127
53	0.000100	0.011187	0.935725	0.021025
54	0.000100	0.011791	0.939988	0.020949
55	0.000100	0.011290	0.941157	0.021048
56	0.000100	0.008957	0.951630	0.020959
57	0.000100	0.013064	0.934948	0.020961
58	0.000100	0.010583	0.943573	0.020872
59	0.000100	0.009367	0.942814	0.020999
60	0.000100	0.011815	0.944648	0.020880
61	0.000100	0.010231	0.937593	0.020849
62	0.000100	0.010454	0.945166	0.020726
63	0.000100	0.012431	0.936484	0.020638
64	0.000100	0.012659	0.944077	0.020736
65	0.000100	0.010487	0.946422	0.020639
66	0.000100	0.011509	0.942088	0.020682
67	0.000100	0.010886	0.938299	0.020636
68	0.000100	0.010858	0.939371	0.020634
69	0.000100	0.013440	0.940322	0.020612
70	0.000100	0.010127	0.936809	0.020687
71	0.000100	0.008962	0.950644	0.020483
72	0.000100	0.011040	0.941750	0.020516
73	0.000100	0.011786	0.938945	0.020490
74	0.000100	0.010324	0.949155	0.020498
75	0.000100	0.013782	0.929427	0.020391
76	0.000100	0.009688	0.943644	0.020461
77	0.000100	0.012911	0.936658	0.020621
78	0.000100	0.010630	0.913421	0.020493
79	0.000100	0.012820	0.944114	0.020343
80	0.000100	0.010328	0.943982	0.020400
81	0.000100	0.010342	0.940386	0.020358
82	0.000100	0.009752	0.947071	0.020288
83	0.000100	0.008828	0.952200	0.020360
84	0.000100	0.010514	0.939787	0.020395
85	0.000100	0.010413	0.940607	0.020301
86	0.000100	0.009048	0.949180	0.020334
87	0.000100	0.011941	0.939931	0.020348
88	0.000100	0.013127	0.941624	0.020261
89	0.000100	0.012213	0.937151	0.020184
90	0.000100	0.008146	0.948875	0.020149
91	0.000100	0.010179	0.938038	0.020150
92	0.000100	0.010401	0.938185	0.020144
93	0.000100	0.010376	0.942500	0.020092
94	0.000100	0.009541	0.947899	0.020119
95	0.000100	0.009311	0.946360	0.020099
96	0.000100	0.008692	0.946829	0.020094
97	0.000100	0.010918	0.943346	0.020048
98	0.000100	0.009991	0.952615	0.020095
99	0.000100	0.011221	0.944964	0.020029
100	0.000100	0.010812	0.938548	0.020019
101	0.000100	0.010218	0.952308	0.019956
102	0.000100	0.008062	0.955415	0.019941
103	0.000100	0.011118	0.944154	0.020074
104	0.000100	0.009615	0.955089	0.019980
105	0.000100	0.010415	0.937979	0.020028
106	0.000100	0.012275	0.939356	0.019921
107	0.000100	0.007575	0.957046	0.019852
108	0.000100	0.008952	0.949498	0.019850
109	0.000100	0.011463	0.938923	0.019817
110	0.000100	0.008248	0.950410	0.019778
111	0.000100	0.013225	0.919025	0.019795
112	0.000100	0.011731	0.946716	0.019763
113	0.000100	0.010624	0.948220	0.019831
114	0.000100	0.010449	0.945527	0.019854
115	0.000100	0.010091	0.938144	0.019826
116	0.000100	0.010857	0.938884	0.019806
117	0.000100	0.011751	0.929035	0.019769
118	0.000100	0.011147	0.941109	0.019760
119	0.000100	0.008433	0.950708	0.019710
120	0.000100	0.012308	0.918693	0.019805
121	0.000100	0.011594	0.949480	0.019711
122	0.000100	0.008907	0.952573	0.019614
123	0.000100	0.008366	0.945131	0.019691
124	0.000100	0.012656	0.940489	0.019689
125	0.000100	0.014713	0.941224	0.019665
126	0.000100	0.010781	0.918690	0.019640
127	0.000100	0.011117	0.945183	0.019602
128	0.000100	0.010498	0.940976	0.019581
129	0.000100	0.009203	0.948969	0.019572
130	0.000100	0.008593	0.947431	0.019573
131	0.000100	0.008973	0.945894	0.019589
132	0.000100	0.009362	0.950050	0.019540
133	0.000100	0.008713	0.951331	0.019617
134	0.000100	0.007546	0.944618	0.019549
135	0.000100	0.009823	0.946153	0.019517
136	0.000100	0.012511	0.929945	0.019491
137	0.000100	0.011674	0.945233	0.019508
138	0.000100	0.010450	0.944665	0.019447
139	0.000100	0.009140	0.939378	0.019471
140	0.000100	0.013781	0.941510	0.019459
141	0.000100	0.011172	0.937767	0.019518
142	0.000100	0.009664	0.950541	0.019425
143	0.000100	0.012296	0.925676	0.019420
144	0.000100	0.008298	0.954759	0.019391
145	0.000100	0.011234	0.937835	0.019410
146	0.000100	0.008949	0.952390	0.019357
147	0.000100	0.011831	0.941885	0.019362
148	0.000100	0.011445	0.945177	0.019354
149	0.000100	0.012067	0.938526	0.019387
150	0.000100	0.009221	0.951435	0.019325
151	0.000100	0.011553	0.944786	0.019340
152	0.000100	0.010098	0.944287	0.019292
153	0.000100	0.012366	0.943892	0.019366
154	0.000100	0.009694	0.945659	0.019256
155	0.000100	0.007243	0.949876	0.019234
156	0.000100	0.010451	0.942387	0.019185
157	0.000100	0.011728	0.935761	0.019360
158	0.000100	0.012689	0.949827	0.019263
159	0.000100	0.009911	0.944165	0.019170
160	0.000100	0.009568	0.946202	0.019165
161	0.000100	0.011359	0.938251	0.019222
162	0.000100	0.009906	0.949873	0.019206
163	0.000100	0.010215	0.952963	0.019187
164	0.000100	0.009579	0.941786	0.019121
165	0.000100	0.010018	0.947127	0.019185
166	0.000100	0.010167	0.946220	0.019159
167	0.000100	0.011621	0.934848	0.019183
168	0.000100	0.010839	0.940969	0.019151
169	0.000100	0.008931	0.952650	0.019190
170	0.000100	0.006851	0.947657	0.019102
171	0.000100	0.007680	0.954391	0.019067
172	0.000100	0.008886	0.949433	0.019124
173	0.000100	0.006202	0.964701	0.018984
174	0.000100	0.008452	0.950170	0.018992
175	0.000100	0.006960	0.963617	0.019004
176	0.000100	0.010489	0.947054	0.019049
177	0.000100	0.013739	0.928942	0.019082
178	0.000100	0.009885	0.938910	0.018937
179	0.000100	0.009896	0.952910	0.019065
180	0.000100	0.007691	0.957153	0.019023
181	0.000100	0.010265	0.949432	0.018871
182	0.000100	0.011563	0.945246	0.018965
183	0.000100	0.008386	0.947761	0.018967
184	0.000100	0.009848	0.944607	0.018881
185	0.000100	0.010001	0.939287	0.018969
186	0.000100	0.011535	0.947804	0.018892
187	0.000100	0.007893	0.944867	0.018897
188	0.000100	0.008105	0.949535	0.018925
189	0.000100	0.009967	0.934724	0.018849
190	0.000100	0.009096	0.949630	0.018807
191	0.000100	0.009807	0.949043	0.018921
192	0.000100	0.012122	0.938191	0.018828
193	0.000100	0.009766	0.943208	0.018861
194	0.000100	0.007454	0.957761	0.018920
